(10.269232981167015,-10.269232981166972)
(10.444437763574147,-10.109268058134624)
(10.637827296580225,-9.961141936884855)
(10.851833196702433,-9.821062620845582)
(11.08832581510923,-9.684919380920093)
(11.348576204623118,-9.548360679518265)
(11.633228711006796,-9.406876451099185)
(11.942284670267885,-9.255883302256729)
(12.275097500434523,-9.090811143461872)
(12.630379277950738,-8.90718973953252)
(13.006218688965923,-8.70073366716594)
(13.400110047820352,-8.467424195420719)
(13.808992882402467,-8.203586658394975)
(14.229301402119383,-7.905961967587322)
(14.657022992181991,-7.571771013188056)
(15.087764720746632,-7.198770827059354)
(15.51682670591279,-6.785301523280191)
(15.939281070074337,-6.330323192363917)
(16.350055111739184,-5.833442099820067)
(16.744017251362703,-5.294925725591913)
(17.116064259260895,-4.715706374826195)
(17.461208251126955,-4.097373289049884)
(17.774661940456237,-3.4421533866898377)
(18.051920667230828,-2.7528809594965447)
(18.288839777997307,-2.0329568433915686)
(18.48170601302574,-1.286297765209154)
(18.627301660160484,-0.5172767375673915)
(18.72296036045985,0.26934447028621444)
(18.766613595589995,1.0684896200612313)
(18.756827048670164,1.8748477673559596)
(18.692826206050512,2.6829571216509676)
(18.5745107542846,3.4872915538389604)
(18.40245752108886,4.282348255713834)
(18.17791190797995,5.06273503578203)
(17.902767962089847,5.823255742040511)
(17.579537431904757,6.5589923348790125)
(17.211308342928543,7.265382191442745)
(16.80169381120948,7.938289305626597)
(16.354771982128486,8.574068153921264)
(15.875018135881572,9.169619124751977)
(15.367230137021354,9.722434555528416)
(14.836448520889189,10.2306345848097)
(14.287872602764274,10.692992203945144)
(13.726774064461832,11.108947080203768)
(13.158409516731147,11.478607918490699)
(12.587933553379731,11.802743327875303)
(12.02031380427389,12.082761358862605)
(11.460249459393944,12.320678074154968)
(10.912094675561312,12.519075706152064)
(10.37978819235741,12.681051135315172)
(9.866790375600885,12.81015559162877)
(9.37602877742098,12.910326633809198)
(8.90985315370825,12.985813594985224)
(8.470000715117692,13.041097796978415)
(8.057572209706004,13.080808926072063)
(7.67301924679834,13.109639029696265)
(7.31614307608112,13.132255634619625)
(6.9861048366024106,13.153215502306846)
(6.681447090799219,13.176880525816815)
(6.4001262623287625,13.207337235172622)
(6.139555406773129,13.24832131518424)
(5.89665656451103,13.303148452342883)
(5.667921778333269,13.374652717149157)
(5.449481707616793,13.465133557005672)
(5.237180638688986,13.576312324876962)
(5.02665657970519,13.709299102904954)
(4.813425039865292,13.864570400951036)
(4.592965028646704,14.041958120733419)
(4.3608057720473985,14.240649980131046)
(4.112612630286726,14.459201392742928)
(3.8442707152199205,14.69555859839226)
(3.551964745647525,14.947092644414681)
(3.232253744045578,15.210643628675246)
(2.8821392678748676,15.482574436602178)
(2.4991259809849717,15.758833039214604)
(2.0812735037616763,16.03502227002925)
